Env,Hybrid,Yield_Mg_ha
DEH1_2024,01CSI6/LH287,8.130604057
DEH1_2024,01DIB2/LH287,10.44621808
DEH1_2024,01DIB2/PHP02,9.327672523
DEH1_2024,2369/LH123HT,5.129494541
DEH1_2024,2FACC/PHP02,9.346184362
DEH1_2024,6F629/LH287,8.890996976
DEH1_2024,6F629/PHP02,9.397960364
DEH1_2024,B14A/OH43,3.732184191
DEH1_2024,B37/H95,5.497861121
DEH1_2024,B73/MO17,6.375901878
DEH1_2024,B73/PHN82,9.594510742
DEH1_2024,B73/TX779,5.300975782
DEH1_2024,CG119/CG108,3.805299483
DEH1_2024,CG44/CGR01,4.641104289
DEH1_2024,DK3IIH6/LH244,10.34418456
DEH1_2024,DKFBHJ/LH287,9.1236464
DEH1_2024,DKFBHJ/PHP02,5.685190288
DEH1_2024,FBLL/LH287,13.87994349
DEH1_2024,FBLL/PHP02,9.556386639
DEH1_2024,GEMS-0061_3AZA1_0001/LH287,9.421545248
DEH1_2024,GEMS-0061_3AZA1_0001/PHP02,7.833321263
DEH1_2024,GEMS-0061_3AZA1_0004/PHP02,10.87130926
DEH1_2024,GEMS-0061_3AZA1_0005/PHP02,7.193741654
DEH1_2024,GEMS-0061_3AZA1_0006/LH287,12.38500376
DEH1_2024,GEMS-0061_3AZA1_0007/PHP02,8.327294517
DEH1_2024,GEMS-0061_3AZA1_0009/LH287,8.261729986
DEH1_2024,GEMS-0061_3AZA1_0009/PHP02,8.389171657
DEH1_2024,GEMS-0061_3AZA1_0010/PHP02,4.045826215
DEH1_2024,GEMS-0061_3AZA1_0012/PHP02,6.660375242
DEH1_2024,GEMS-0061_3AZA1_0013/LH287,6.863356699
DEH1_2024,GEMS-0061_3AZA1_0013/PHP02,6.328009568
DEH1_2024,GEMS-0061_3AZA1_0016/PHP02,6.520947174
DEH1_2024,GEMS-0061_3AZA1_0017/PHP02,8.500749169
DEH1_2024,GEMS-0061_3AZA1_0021/LH287,11.67135625
DEH1_2024,GEMS-0061_3AZA1_0021/PHP02,9.554106992
DEH1_2024,GEMS-0061_3AZA1_0023/PHP02,7.465004652
DEH1_2024,GEMS-0061_FBLL_0002/PHP02,6.758282411
DEH1_2024,GEMS-0061_FBLL_0004/PHP02,10.63197022
DEH1_2024,GEMS-0061_FBLL_0005/LH287,9.48997305
DEH1_2024,GEMS-0061_FBLL_0005/PHP02,5.247993902
DEH1_2024,GEMS-0061_FBLL_0008/LH287,10.26629892
DEH1_2024,GEMS-0061_FBLL_0008/PHP02,5.818867036
DEH1_2024,GEMS-0061_FBLL_0009/LH287,10.96893464
DEH1_2024,GEMS-0061_FBLL_0009/PHP02,7.198097246
DEH1_2024,GEMS-0061_FBLL_0010/LH287,12.07802702
DEH1_2024,GEMS-0061_FBLL_0010/PHP02,8.967392757
DEH1_2024,GEMS-0061_FBLL_0014/PHP02,11.16144643
DEH1_2024,GEMS-0061_FBLL_0015/PHP02,10.85155528
DEH1_2024,GEMS-0061_FBLL_0016/LH287,11.45847774
DEH1_2024,GEMS-0061_FBLL_0016/PHP02,8.05926456
DEH1_2024,GEMS-0061_FBLL_0017/PHP02,8.617666593
DEH1_2024,GEMS-0061_FBLL_0019/PHP02,10.4631375
DEH1_2024,GEMS-0061_FBLL_0023/LH287,9.439263764
DEH1_2024,GEMS-0061_FBLL_0024/LH287,12.73488262
DEH1_2024,GEMS-0061_FBLL_0025/PHP02,7.546576693
DEH1_2024,GEMS-0061_FBLL_0026/LH287,8.528867152
DEH1_2024,GEMS-0061_FBLL_0029/LH287,12.19377284
DEH1_2024,GEMS-0061_FBLL_0029/PHP02,9.140765797
DEH1_2024,GEMS-0061_FBLL_0031/LH287,9.610552254
DEH1_2024,GEMS-0061_FBLL_0031/PHP02,9.599601815
DEH1_2024,GEMS-0061_FBLL_0032/PHP02,9.962451337
DEH1_2024,GEMS-0061_FBLL_0033/PHP02,8.776222113
DEH1_2024,GEMS-0061_FBLL_0034/LH287,11.64332496
DEH1_2024,GEMS-0061_FBLL_0035/PHP02,5.161741473
DEH1_2024,GEMS-0061_FBLL_0039/LH287,12.10379516
DEH1_2024,GEMS-0061_FBLL_0039/PHP02,9.836295815
DEH1_2024,GEMS-0061_FBLL_0040/LH287,11.2081005
DEH1_2024,GEMS-0061_FBLL_0040/PHP02,8.350135417
DEH1_2024,GEMS-0061_FBLL_0042/PHP02,5.521647601
DEH1_2024,GEMS-0061_FBLL_0044/LH287,9.597520949
DEH1_2024,GEMS-0061_FBLL_0044/PHP02,7.146058984
DEH1_2024,GEMS-0061_FBLL_0047/PHP02,7.74264136
DEH1_2024,GEMS-0061_FBLL_0050/LH287,12.08632243
DEH1_2024,GEMS-0061_FBLL_0050/PHP02,10.53930838
DEH1_2024,GEMS-0061_PHB47_0001/LH287,11.67864882
DEH1_2024,GEMS-0061_PHB47_0001/PHP02,8.37798021
DEH1_2024,GEMS-0061_PHB47_0003/LH287,12.26778259
DEH1_2024,GEMS-0061_PHB47_0004/LH287,8.377614742
DEH1_2024,GEMS-0061_PHB47_0004/PHP02,11.44789537
DEH1_2024,GEMS-0061_PHBW8_0002/PHP02,5.752253145
DEH1_2024,GEMS-0113_3AZA1_0001/LH287,10.92850327
DEH1_2024,GEMS-0113_3AZA1_0001/PHP02,10.19054606
DEH1_2024,GEMS-0113_3AZA1_0002/LH287,12.46609262
DEH1_2024,GEMS-0113_3AZA1_0003/PHP02,6.300478583
DEH1_2024,GEMS-0113_3AZA1_0004/LH287,7.497737182
DEH1_2024,GEMS-0113_3AZA1_0004/PHP02,8.194694218
DEH1_2024,GEMS-0113_3AZA1_0005/PHP02,8.963170998
DEH1_2024,GEMS-0113_3AZA1_0006/LH287,12.17316654
DEH1_2024,GEMS-0113_3AZA1_0006/PHP02,8.677969132
DEH1_2024,GEMS-0113_3AZA1_0007/PHP02,4.550665524
DEH1_2024,GEMS-0113_3AZA1_0010/PHP02,5.524250965
DEH1_2024,GEMS-0113_3AZA1_0011/PHP02,4.973667797
DEH1_2024,GEMS-0113_3AZA1_0013/LH287,8.420968412
DEH1_2024,GEMS-0113_3AZA1_0013/PHP02,8.539682556
DEH1_2024,GEMS-0113_3AZA1_0014/PHP02,7.713988265
DEH1_2024,GEMS-0113_3AZA1_0015/PHP02,6.330575428
DEH1_2024,GEMS-0113_3AZA1_0016/LH287,7.379580735
DEH1_2024,GEMS-0113_3AZA1_0016/PHP02,5.369522881
DEH1_2024,GEMS-0113_3AZA1_0017/LH287,10.63120022
DEH1_2024,GEMS-0113_3AZA1_0017/PHP02,7.036983021
DEH1_2024,GEMS-0113_3AZA1_0018/PHP02,8.821013305
DEH1_2024,GEMS-0113_3AZA1_0019/PHP02,4.630365995
DEH1_2024,GEMS-0113_3AZA1_0025/LH287,8.013623791
DEH1_2024,GEMS-0113_3AZA1_0025/PHP02,5.469736745
DEH1_2024,GEMS-0113_3AZA1_0026/LH287,7.70127715
DEH1_2024,GEMS-0113_3AZA1_0026/PHP02,10.44132904
DEH1_2024,GEMS-0113_3AZA1_0027/PHP02,10.38373022
DEH1_2024,GEMS-0113_3AZA1_0028/LH287,8.770812693
DEH1_2024,GEMS-0113_3AZA1_0028/PHP02,6.617411563
DEH1_2024,GEMS-0113_3AZA1_0029/PHP02,5.267518855
DEH1_2024,GEMS-0113_3AZA1_0031/LH287,12.0935707
DEH1_2024,GEMS-0113_3AZA1_0031/PHP02,6.954467027
DEH1_2024,GEMS-0113_3AZA1_0038/LH287,10.99086635
DEH1_2024,GEMS-0113_3AZA1_0038/PHP02,5.846257953
DEH1_2024,GEMS-0113_FBLL_0002/PHP02,8.605772031
DEH1_2024,GEMS-0113_FBLL_0003/PHP02,8.986957639
DEH1_2024,GEMS-0113_FBLL_0004/PHP02,8.306954973
DEH1_2024,GEMS-0113_FBLL_0005/LH287,7.780566425
DEH1_2024,GEMS-0113_FBLL_0005/PHP02,9.626222768
DEH1_2024,GEMS-0113_FBLL_0006/LH287,12.41948192
DEH1_2024,GEMS-0113_FBLL_0008/LH287,10.09182291
DEH1_2024,GEMS-0113_FBLL_0008/PHP02,10.62251211
DEH1_2024,GEMS-0113_FBLL_0010/PHP02,8.524002025
DEH1_2024,GEMS-0113_FBLL_0015/LH287,11.22326953
DEH1_2024,GEMS-0113_PHB47_0001/PHP02,8.758457714
DEH1_2024,GEMS-0113_PHB47_0003/PHP02,7.845299589
DEH1_2024,GEMS-0113_PHB47_0004/LH287,9.827602132
DEH1_2024,GEMS-0113_PHB47_0005/PHP02,9.734140118
DEH1_2024,GEMS-0113_PHB47_0006/PHP02,6.151316158
DEH1_2024,GEMS-0113_PHB47_0007/LH287,8.853820512
DEH1_2024,GEMS-0113_PHB47_0007/PHP02,9.421573085
DEH1_2024,GEMS-0113_PHB47_0009/LH287,11.3298906
DEH1_2024,GEMS-0113_PHB47_0011/PHP02,8.832419696
DEH1_2024,GEMS-0113_PHB47_0012/PHP02,9.590542784
DEH1_2024,GEMS-0113_PHB47_0013/LH287,11.04882519
DEH1_2024,GEMS-0113_PHB47_0013/PHP02,8.780401664
DEH1_2024,GEMS-0113_PHB47_0014/PHP02,8.607177189
DEH1_2024,GEMS-0113_PHB47_0015/LH287,9.451846443
DEH1_2024,GEMS-0113_PHB47_0015/PHP02,9.795135247
DEH1_2024,GEMS-0113_PHB47_0017/LH287,8.907251032
DEH1_2024,GEMS-0113_PHB47_0017/PHP02,9.094378927
DEH1_2024,GEMS-0113_PHB47_0019/LH287,7.827342248
DEH1_2024,GEMS-0113_PHB47_0019/PHP02,5.282282629
DEH1_2024,GEMS-0113_PHB47_0020/PHP02,8.506588735
DEH1_2024,GEMS-0113_PHB47_0021/PHP02,7.514617295
DEH1_2024,GEMS-0113_PHBW8_0002/LH287,11.26114282
DEH1_2024,GEMS-0113_PHBW8_0002/PHP02,9.49704017
DEH1_2024,GEMS-0113_PHBW8_0004/PHP02,10.25203355
DEH1_2024,GEMS-0113_PHBW8_0005/PHP02,9.662473233
DEH1_2024,GEMS-0113_PHBW8_0006/LH287,9.602914002
DEH1_2024,GEMS-0113_PHBW8_0006/PHP02,9.722179453
DEH1_2024,GEMS-0113_PHBW8_0007/LH287,8.146273802
DEH1_2024,GEMS-0113_PHBW8_0008/PHP02,8.743715038
DEH1_2024,GEMS-0113_PHBW8_0010/PHP02,9.548399321
DEH1_2024,GEMS-0113_PHBW8_0011/LH287,6.994972289
DEH1_2024,GEMS-0113_PHBW8_0011/PHP02,10.28598501
DEH1_2024,GEMS-0113_PHBW8_0012/LH287,11.69241136
DEH1_2024,GEMS-0113_PHBW8_0012/PHP02,9.086737854
DEH1_2024,GEMS-0113_PHBW8_0013/LH287,7.362623931
DEH1_2024,GEMS-0113_PHBW8_0014/LH287,10.12207768
DEH1_2024,GEMS-0113_PHBW8_0014/PHP02,11.48272407
DEH1_2024,GEMS-0113_PHBW8_0017/LH287,12.71819483
DEH1_2024,GEMS-0113_PHBW8_0017/PHP02,8.932362736
DEH1_2024,GEMS-0219_3AZA1_0001/LH287,10.22451724
DEH1_2024,GEMS-0219_3AZA1_0002/PHP02,5.304736512
DEH1_2024,GEMS-0219_3AZA1_0003/PHP02,7.831653679
DEH1_2024,GEMS-0219_3AZA1_0004/PHP02,9.351032303
DEH1_2024,GEMS-0219_3AZA1_0005/LH287,8.604359581
DEH1_2024,GEMS-0219_3AZA1_0005/PHP02,7.206865222
DEH1_2024,GEMS-0219_3AZA1_0007/LH287,11.22369651
DEH1_2024,GEMS-0219_3AZA1_0007/PHP02,7.842026775
DEH1_2024,GEMS-0219_3AZA1_0008/LH287,9.027515984
DEH1_2024,GEMS-0219_3AZA1_0008/PHP02,4.665349154
DEH1_2024,GEMS-0219_3AZA1_0009/PHP02,2.455406888
DEH1_2024,GEMS-0219_3AZA1_0010/PHP02,11.00110941
DEH1_2024,GEMS-0219_3AZA1_0012/LH287,9.651771889
DEH1_2024,GEMS-0219_3AZA1_0012/PHP02,7.679166295
DEH1_2024,GEMS-0219_3AZA1_0014/PHP02,7.243130272
DEH1_2024,GEMS-0219_FBLL_0002/PHP02,9.549441488
DEH1_2024,GEMS-0219_FBLL_0003/PHP02,9.067835769
DEH1_2024,GEMS-0219_FBLL_0004/LH287,13.52726848
DEH1_2024,GEMS-0219_FBLL_0004/PHP02,6.574714078
DEH1_2024,GEMS-0219_FBLL_0005/LH287,12.09144658
