Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,8.09839350444078
DEH1_2022,B37/H95,8.50161878920778
DEH1_2022,B73/MO17,11.1538291252209
DEH1_2022,B73/PHN82,11.4258558684594
DEH1_2022,B73/TX779,9.3042385313103
DEH1_2022,B97/LH244,9.67564360292787
DEH1_2022,BGEM-0039-N/LH244,8.76176201889596
DEH1_2022,BGEM-0063-N/LH244,9.27581483380942
DEH1_2022,BGEM-0089-N/LH244,8.90260212905262
DEH1_2022,BGEM-0124-N/LH244,8.71231456761231
DEH1_2022,BGEM-0129-N/LH244,8.16641904823726
DEH1_2022,CG119/CG108,5.34781642340623
DEH1_2022,CG44/CGR01,7.15076994005948
DEH1_2022,DK3IIH6/LH244,9.12470776736389
DEH1_2022,DK78010/LH244,8.76530942107525
DEH1_2022,GEMN-0096/LH244,9.33823975054281
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,9.57734025119845
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,9.46539811509048
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,9.7149914163446
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,9.67764487499912
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,9.64107805812727
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,9.75203995709873
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,9.72959351145293
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,9.77479069238323
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,9.50124139543977
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,9.53758130613819
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,9.79627926523054
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,9.67098189201152
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,9.6845841702738
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,9.47221636466213
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,9.35988090037631
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,9.27873407403943
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,9.35387865366284
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,9.251140201269
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,9.17868898099566
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,9.23668634997592
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,9.00103430213291
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,9.23052976129894
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,9.58957619731743
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,8.99970500838139
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,9.34482385474817
DEH1_2022,GEMN-0096_PHK76_0001/LH244,9.32139601381924
DEH1_2022,GEMN-0096_PHK76_0002/LH244,9.25939282115051
DEH1_2022,GEMN-0096_PHK76_0003/LH244,9.33299837378017
DEH1_2022,GEMN-0096_PHK76_0004/LH244,9.27217089553196
DEH1_2022,GEMN-0096_PHK76_0006/LH244,9.27852545255042
DEH1_2022,GEMN-0096_PHK76_0007/LH244,9.25086972349563
DEH1_2022,GEMN-0096_PHK76_0008/LH244,9.30534523494499
DEH1_2022,GEMN-0096_PHK76_0010/LH244,9.30301349098983
DEH1_2022,GEMN-0096_PHK76_0013/LH244,9.3321333921502
DEH1_2022,GEMN-0096_PHK76_0015/LH244,9.3017029847195
DEH1_2022,GEMN-0096_PHK76_0016/LH244,9.3150520253273
DEH1_2022,GEMN-0096_PHN46_0001/LH244,9.05228212300985
DEH1_2022,GEMN-0096_PHN46_0003/LH244,9.37192431507838
DEH1_2022,GEMN-0096_PHN46_0004/LH244,9.13630223152462
DEH1_2022,GEMN-0096_PHN46_0005/LH244,9.33227844344538
DEH1_2022,GEMN-0096_PHN46_0007/LH244,9.52928254526637
DEH1_2022,GEMN-0096_PHN46_0008/LH244,9.50981977174084
DEH1_2022,GEMN-0096_PHN46_0012/LH244,9.21307022941026
DEH1_2022,GEMN-0096_PHN46_0013/LH244,9.23004050247723
DEH1_2022,GEMN-0096_PHN46_0014/LH244,9.4774761658036
DEH1_2022,GEMN-0096_PHN46_0018/LH244,8.97930214112777
DEH1_2022,GEMN-0096_PHN46_0020/LH244,9.22734518903048
DEH1_2022,GEMN-0096_PHN46_0023/LH244,9.17129108639466
DEH1_2022,GEMN-0096_PHP02_0001/LH244,9.17329617813116
DEH1_2022,GEMN-0096_PHP02_0002/LH244,9.330220466484
DEH1_2022,GEMN-0096_PHP02_0003/LH244,9.05072032315474
DEH1_2022,GEMN-0096_PHP02_0004/LH244,9.26202339833402
DEH1_2022,GEMN-0096_PHP02_0005/LH244,9.14489831395592
DEH1_2022,GEMN-0096_PHP02_0006/LH244,9.2696458044522
DEH1_2022,GEMN-0096_PHP02_0007/LH244,9.10152368685581
DEH1_2022,GEMN-0096_PHP02_0009/LH244,9.01060474970953
DEH1_2022,GEMN-0096_PHP02_0011/LH244,9.47996020374969
DEH1_2022,GEMN-0096_PHP02_0012/LH244,9.18260650001233
DEH1_2022,GEMN-0096_PHP02_0015/LH244,9.11982466495445
DEH1_2022,GEMN-0096_PHP02_0016/LH244,9.25694364108843
DEH1_2022,GEMN-0096_PHP02_0025/LH244,9.08392665045201
DEH1_2022,GEMN-0096_PHP02_0030/LH244,9.22669925751897
DEH1_2022,GEMN-0097/LH244,9.35402073095404
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,9.60710616628101
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,9.77929323551257
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,9.77712319978985
DEH1_2022,GEMN-0097_LH212HT_0019/LH244,9.90970386451152
DEH1_2022,GEMN-0097_LH212HT_0020/LH244,9.89378645580238
DEH1_2022,GEMN-0097_LH212HT_0023/LH244,9.67185978132172
DEH1_2022,GEMN-0097_LH212HT_0026/LH244,9.49076476216209
DEH1_2022,GEMN-0097_LH212HT_0032/LH244,9.73473812509382
DEH1_2022,GEMN-0097_LH212HT_0034/LH244,9.66224899575128
DEH1_2022,GEMN-0097_LH212HT_0039/LH244,9.85011519960502
DEH1_2022,GEMN-0097_LH212HT_0047/LH244,9.76690099275989
DEH1_2022,GEMN-0097_LH212HT_0051/LH244,9.72871715228024
DEH1_2022,GEMN-0097_LH212HT_0054/LH244,9.84418739632823
DEH1_2022,GEMN-0097_LH212HT_0058/LH244,9.93738062088194
DEH1_2022,GEMN-0097_LH212HT_0061/LH244,9.79878007571149
DEH1_2022,GEMN-0097_LH212HT_0062/LH244,9.71891351125337
DEH1_2022,GEMN-0097_LH212HT_0069/LH244,9.64578995951979
DEH1_2022,GEMN-0097_LH212HT_0074/LH244,9.54509292485406
DEH1_2022,GEMN-0097_LH212HT_0078/LH244,9.91948057968919
DEH1_2022,GEMN-0097_LH212HT_0085/LH244,9.38441993550315
DEH1_2022,GEMN-0097_LH212HT_0090/LH244,9.77818813463151
DEH1_2022,GEMN-0097_PHJ89_0001/LH244,9.15841401325181
DEH1_2022,GEMN-0097_PHJ89_0002/LH244,9.25739396527596
DEH1_2022,GEMN-0097_PHJ89_0003/LH244,9.57404878811039
DEH1_2022,GEMN-0097_PHJ89_0005/LH244,9.24596718848561
DEH1_2022,GEMN-0097_PHJ89_0006/LH244,9.55634071976416
DEH1_2022,GEMN-0097_PHJ89_0007/LH244,9.66173539629352
DEH1_2022,GEMN-0097_PHJ89_0008/LH244,9.38630843731575
DEH1_2022,GEMN-0097_PHJ89_0010/LH244,9.53447138772341
DEH1_2022,GEMN-0097_PHJ89_0011/LH244,9.38314027917852
DEH1_2022,GEMN-0097_PHJ89_0012/LH244,9.60044842166819
DEH1_2022,GEMN-0097_PHJ89_0013/LH244,9.50713342051911
DEH1_2022,GEMN-0097_PHJ89_0016/LH244,9.50773215462575
DEH1_2022,GEMN-0097_PHJ89_0020/LH244,9.02140575757896
DEH1_2022,GEMN-0097_PHJ89_0023/LH244,9.54473871698604
DEH1_2022,GEMN-0097_PHJ89_0025/LH244,9.33951637915322
DEH1_2022,GEMN-0097_PHJ89_0026/LH244,9.53788257438706
DEH1_2022,GEMN-0097_PHJ89_0027/LH244,9.26508761685052
DEH1_2022,GEMN-0097_PHJ89_0028/LH244,9.53677054992882
DEH1_2022,GEMN-0097_PHJ89_0029/LH244,9.71560766404617
DEH1_2022,GEMN-0097_PHJ89_0033/LH244,9.24647046411443
DEH1_2022,GEMN-0097_PHJ89_0036/LH244,9.55785401209129
DEH1_2022,GEMN-0097_PHJ89_0039/LH244,9.58317860754969
DEH1_2022,GEMN-0097_PHK76_0002/LH244,9.31591353250246
DEH1_2022,GEMN-0097_PHK76_0003/LH244,9.4905083978204
DEH1_2022,GEMN-0097_PHK76_0007/LH244,8.70155564329484
DEH1_2022,GEMN-0097_PHK76_0009/LH244,9.51479944865384
DEH1_2022,GEMN-0097_PHK76_0010/LH244,9.15937399223531
DEH1_2022,GEMN-0097_PHK76_0011/LH244,9.38381337740273
DEH1_2022,GEMN-0097_PHK76_0012/LH244,9.53877134705395
DEH1_2022,GEMN-0097_PHK76_0014/LH244,9.40032329555586
DEH1_2022,GEMN-0097_PHK76_0015/LH244,9.42310539801063
DEH1_2022,GEMN-0097_PHK76_0016/LH244,9.88137746905566
DEH1_2022,GEMN-0097_PHK76_0017/LH244,9.93545505964481
DEH1_2022,GEMN-0097_PHK76_0018/LH244,9.62449367454179
DEH1_2022,GEMN-0097_PHK76_0021/LH244,9.35989003772893
DEH1_2022,GEMN-0097_PHK76_0023/LH244,9.24545047186785
DEH1_2022,GEMN-0097_PHK76_0029/LH244,9.93545505964481
DEH1_2022,GEMN-0097_PHK76_0032/LH244,9.33506424575671
DEH1_2022,GEMN-0097_PHK76_0036/LH244,9.38530798814454
DEH1_2022,GEMN-0097_PHK76_0037/LH244,9.36711365340969
DEH1_2022,GEMN-0097_PHK76_0038/LH244,9.57653744084079
DEH1_2022,GEMN-0097_PHK76_0039/LH244,9.32787320545237
DEH1_2022,GEMN-0097_PHK76_0041/LH244,9.52563921694375
DEH1_2022,GEMN-0097_PHK76_0048/LH244,9.55543967243857
DEH1_2022,GEMN-0097_PHK76_0053/LH244,9.25310579288454
DEH1_2022,GEMN-0097_PHK76_0055/LH244,9.44312918499144
DEH1_2022,GEMN-0097_PHK76_0060/LH244,9.40874601572952
DEH1_2022,GEMN-0097_PHN46_0001/LH244,9.65389390577115
DEH1_2022,GEMN-0097_PHN46_0002/LH244,9.48628765080728
DEH1_2022,GEMN-0097_PHN46_0003/LH244,9.35644939027661
DEH1_2022,GEMN-0097_PHN46_0004/LH244,9.19999438828003
DEH1_2022,GEMN-0097_PHN46_0005/LH244,9.46311102385281
DEH1_2022,GEMN-0097_PHN46_0006/LH244,9.34278431032129
DEH1_2022,GEMN-0097_PHN46_0007/LH244,9.59908548875447
DEH1_2022,GEMN-0097_PHN46_0008/LH244,9.84565866430571
DEH1_2022,GEMN-0097_PHN46_0009/LH244,9.46005162163298
DEH1_2022,GEMN-0097_PHN46_0010/LH244,9.93545505964481
DEH1_2022,GEMN-0097_PHN46_0011/LH244,9.73421507786285
DEH1_2022,GEMN-0097_PHN46_0014/LH244,9.10740705808314
DEH1_2022,GEMN-0097_PHN46_0016/LH244,9.58759297997796
DEH1_2022,GEMN-0097_PHN46_0018/LH244,9.57028507712872
DEH1_2022,GEMN-0097_PHP02_0001/LH244,9.35832729422533
DEH1_2022,GEMN-0097_PHP02_0002/LH244,9.33664867436364
DEH1_2022,GEMN-0097_PHP02_0003/LH244,9.55855615685187
DEH1_2022,GEMN-0097_PHP02_0005/LH244,9.49925583390355
DEH1_2022,GEMN-0097_PHP02_0006/LH244,9.49107079923635
DEH1_2022,GEMN-0097_PHP02_0007/LH244,9.18469733834556
DEH1_2022,GEMN-0098/LH244,9.53864672909512
DEH1_2022,GEMN-0104/LH244,9.53630173176948
DEH1_2022,GEMN-0124/LH244,9.70400400116126
DEH1_2022,GEMN-0135/LH244,9.68895614467371
DEH1_2022,GEMN-0144/LH244,10.0790258067265
DEH1_2022,GEMN-0157/LH244,9.2531128678412
DEH1_2022,GEMN-0177/LH244,9.70475164702898
DEH1_2022,GEMN-0178/LH244,9.88908703230994
DEH1_2022,GEMN-0187/LH244,9.65354609559695
DEH1_2022,GEMN-0192/LH244,9.52190891951573
DEH1_2022,GEMN-0192_LH212HT_0001/LH244,9.63734704135213
DEH1_2022,GEMN-0192_LH212HT_0002/LH244,9.59130458560909
DEH1_2022,GEMN-0192_LH212HT_0006/LH244,9.54192845292143
DEH1_2022,GEMN-0192_LH212HT_0007/LH244,9.52717439314646
DEH1_2022,GEMN-0192_LH212HT_0008/LH244,9.7217426130653
DEH1_2022,GEMN-0192_LH212HT_0009/LH244,9.69517973209133
DEH1_2022,GEMN-0192_LH212HT_0010/LH244,9.65626770736449
DEH1_2022,GEMN-0192_LH212HT_0011/LH244,9.59434901094735
DEH1_2022,GEMN-0192_LH212HT_0012/LH244,9.40105402453987
DEH1_2022,GEMN-0192_LH212HT_0013/LH244,9.52421033905603
DEH1_2022,GEMN-0192_LH212HT_0014/LH244,9.7079654010345
DEH1_2022,GEMN-0192_LH212HT_0015/LH244,9.6938548902355
DEH1_2022,GEMN-0192_LH212HT_0018/LH244,9.73556366076461
DEH1_2022,GEMN-0192_LH212HT_0021/LH244,9.56157077082212
DEH1_2022,GEMN-0192_LH212HT_0023/LH244,9.6590291859482
DEH1_2022,GEMN-0192_PHJ89_0001/LH244,9.42000921997299
DEH1_2022,GEMN-0192_PHJ89_0002/LH244,9.45889009068475
DEH1_2022,GEMN-0192_PHK76_0002/LH244,9.38571343481235
DEH1_2022,GEMN-0192_PHK76_0004/LH244,9.52776916700183
DEH1_2022,GEMN-0192_PHK76_0005/LH244,9.24272855213074
DEH1_2022,GEMN-0192_PHK76_0006/LH244,9.57176765619774
DEH1_2022,GEMN-0192_PHK76_0007/LH244,9.27712824485904
DEH1_2022,GEMN-0192_PHK76_0008/LH244,9.25525340632197
DEH1_2022,GEMN-0192_PHK76_0009/LH244,9.07003444524408
DEH1_2022,GEMN-0192_PHK76_0010/LH244,9.5455098925701
DEH1_2022,GEMN-0192_PHK76_0011/LH244,9.38999346290891
DEH1_2022,GEMN-0192_PHK76_0012/LH244,9.24634741985433
DEH1_2022,GEMN-0192_PHK76_0013/LH244,9.60253056822608
DEH1_2022,GEMN-0192_PHK76_0014/LH244,9.44502782894387
DEH1_2022,GEMN-0192_PHK76_0015/LH244,9.0973361495749
DEH1_2022,GEMN-0192_PHK76_0016/LH244,9.57396224689441
DEH1_2022,GEMN-0192_PHK76_0017/LH244,9.3832481602543
DEH1_2022,GEMN-0192_PHK76_0018/LH244,9.27544013081852
DEH1_2022,GEMN-0192_PHK76_0019/LH244,9.42880138759404
DEH1_2022,GEMN-0192_PHK76_0021/LH244,9.35551091704033
DEH1_2022,GEMN-0192_PHK76_0025/LH244,9.19199263256209
DEH1_2022,GEMN-0192_PHK76_0027/LH244,9.39536564048811
DEH1_2022,GEMN-0192_PHK76_0028/LH244,9.40605513397563
DEH1_2022,GEMN-0192_PHK76_0030/LH244,9.28379711004228
DEH1_2022,GEMN-0192_PHK76_0032/LH244,9.28076169129886
DEH1_2022,GEMN-0192_PHK76_0033/LH244,9.4771092784185
DEH1_2022,GEMN-0192_PHK76_0035/LH244,9.14805782916424
DEH1_2022,GEMN-0192_PHK76_0036/LH244,9.26943811248337
DEH1_2022,GEMN-0192_PHK76_0037/LH244,9.31962762716038
DEH1_2022,GEMN-0192_PHK76_0041/LH244,9.5269510131438
DEH1_2022,GEMN-0192_PHK76_0044/LH244,9.24973862039364
DEH1_2022,GEMN-0192_PHK76_0045/LH244,9.44011659960965
DEH1_2022,GEMN-0192_PHN46_0001/LH244,9.08485834973072
DEH1_2022,GEMN-0192_PHN46_0002/LH244,9.32744049805494
DEH1_2022,GEMN-0192_PHN46_0003/LH244,9.09056605727289
DEH1_2022,GEMN-0192_PHN46_0004/LH244,9.57827043258535
DEH1_2022,GEMN-0192_PHN46_0005/LH244,9.39857938693413
DEH1_2022,GEMN-0192_PHN46_0006/LH244,9.82312597800179
DEH1_2022,GEMN-0192_PHN46_0007/LH244,9.42864335303472
DEH1_2022,GEMN-0192_PHN46_0008/LH244,9.48878120010875
DEH1_2022,GEMN-0192_PHN46_0009/LH244,9.6501235617125
DEH1_2022,GEMN-0192_PHN46_0010/LH244,9.34023832131987
DEH1_2022,GEMN-0192_PHN46_0011/LH244,9.39171725677477
DEH1_2022,GEMN-0192_PHN46_0012/LH244,9.27763434062036
DEH1_2022,GEMN-0192_PHN46_0014/LH244,9.37970297757118
DEH1_2022,GEMN-0192_PHN46_0015/LH244,9.64105339464201
DEH1_2022,GEMN-0192_PHN46_0017/LH244,9.36936319936434
DEH1_2022,GEMN-0192_PHN46_0018/LH244,9.45467921759241
DEH1_2022,GEMN-0192_PHN46_0019/LH244,9.57998044664088
DEH1_2022,GEMN-0192_PHN46_0020/LH244,9.58486087466134
DEH1_2022,GEMN-0192_PHN46_0021/LH244,9.49125050977992
DEH1_2022,GEMN-0192_PHN46_0025/LH244,9.08942071235824
DEH1_2022,GEMN-0192_PHP02_0001/LH244,9.23697017427159
DEH1_2022,GEMN-0192_PHP02_0003/LH244,9.29495555153708
DEH1_2022,GEMN-0207/LH244,9.57902114828902
